Site,Transect,Date,Month,Year,Live coral,Dead framework,Other live,Sand/Silt,Rubble/Gravel,Rock_Pavement,Fleshy algae,Coralline algae,Turf algae,Tape/Shadow
SBN-N,E,19/09/2021,9,2021,7.636363636,4,3.090909091,21.81818182,4,11.63636364,0,2,45.63636364,0.181818182
SBN-N,F,19/09/2021,9,2021,12.72727273,2.727272727,3.636363636,22.54545455,8.909090909,16.36363636,0,0.909090909,32,0.181818182
SBN-N,A,09/06/2022,6,2022,27.09090909,0.545454545,8.727272727,9.818181818,4.727272727,2.363636364,0,0.909090909,45.81818182,0
SBN-N,B,09/06/2022,6,2022,27.81818182,0,3.272727273,13.45454545,2.909090909,5.636363636,0,1.090909091,45.81818182,0
SBN-N,C,09/06/2022,6,2022,21.09090909,0,2.909090909,25.45454545,4.181818182,4.727272727,0,0.727272727,40.90909091,0
SBN-N,D,09/06/2022,6,2022,19.27272727,0,3.272727273,24.36363636,3.454545455,4.727272727,0,0.363636364,44.54545455,0
SBN-N,E,09/06/2022,6,2022,17.09090909,0,3.636363636,26.90909091,6,4,0,0,42.36363636,0
SBN-N,F,09/06/2022,6,2022,26.54545455,0,9.454545455,12,1.818181818,6.545454545,0,0.727272727,42.90909091,0
SBN-S,A,18/05/2021,5,2021,50.54545455,0.181818182,3.818181818,8.727272727,2.545454545,4.363636364,0,2,27.81818182,0
SBN-S,B,18/05/2021,5,2021,43.81818182,0,4.909090909,5.818181818,4.181818182,13.09090909,0,0.545454545,27.63636364,0
SBN-S,C,18/05/2021,5,2021,62.4,0,2,6.4,1.4,10.4,0.2,0.8,15.4,1
SBN-S,D,18/05/2021,5,2021,38.72727273,0,6.363636364,3.454545455,4.363636364,21.09090909,0,4,21.81818182,0.181818182
SBN-S,E,18/05/2021,5,2021,40.72727273,0,6.727272727,9.454545455,5.818181818,19.81818182,0,2.909090909,14.36363636,0.181818182
SBN-S,F,18/05/2021,5,2021,34.36363636,0,10.36363636,9.454545455,7.090909091,21.63636364,0,2.363636364,14.72727273,0
SBN-S,A,19/09/2021,9,2021,2.363636364,11.27272727,2.727272727,10.72727273,9.272727273,15.45454545,0,4.363636364,43.81818182,0
SBN-S,B,19/09/2021,9,2021,2.363636364,8.545454545,6.181818182,22.36363636,5.636363636,14,4,2.545454545,34.36363636,0
SBN-S,C,19/09/2021,9,2021,4.363636364,19.27272727,2.727272727,5.636363636,1.818181818,7.090909091,0.727272727,1.636363636,56.72727273,0
SBN-S,D,19/09/2021,9,2021,7.090909091,8.545454545,6.545454545,9.272727273,14.90909091,7.272727273,0,0.909090909,45.45454545,0
SBN-S,E,19/09/2021,9,2021,12.90909091,8.363636364,6.181818182,9.090909091,9.818181818,13.09090909,0,0,40.54545455,0
SBN-S,F,19/09/2021,9,2021,3.454545455,10,4.727272727,6,14.90909091,8.909090909,0,0.909090909,51.09090909,0
SBN-S,A,09/06/2022,6,2022,5.272727273,0.181818182,6.545454545,26.72727273,8.181818182,16.90909091,0.181818182,0.727272727,35.27272727,0
SBN-S,B,09/06/2022,6,2022,7.272727273,0.545454545,6.181818182,14.90909091,8.181818182,25.09090909,0,0.545454545,37.27272727,0
SBN-S,C,09/06/2022,6,2022,4,0,7.090909091,10.18181818,3.636363636,16.90909091,0,1.454545455,56.72727273,0
SBN-S,D,09/06/2022,6,2022,2.545454545,0,4.909090909,17.27272727,10.72727273,14.18181818,0,3.454545455,46.72727273,0.181818182
SBN-S,E,09/06/2022,6,2022,3.454545455,0,12,13.27272727,16.54545455,18.18181818,0,0.545454545,36,0
SBN-S,F,09/06/2022,6,2022,2.181818182,0,8.909090909,17.45454545,22.90909091,19.27272727,0,0.545454545,28.72727273,0
SBN-W,A,18/05/2021,5,2021,16,0.181818182,7.454545455,35.09090909,4.363636364,16.72727273,0,1.454545455,18.72727273,0
SBN-W,B,18/05/2021,5,2021,26.72727273,0,5.272727273,22.72727273,3.454545455,14.90909091,0.181818182,2.727272727,24,0
SBN-W,C,18/05/2021,5,2021,25.81818182,0.181818182,9.818181818,22.72727273,3.454545455,17.63636364,0,2.363636364,18,0
SBN-W,D,18/05/2021,5,2021,32.72727273,0.363636364,6.363636364,15.63636364,4.727272727,17.27272727,0.545454545,2.545454545,19.81818182,0
SBN-W,E,18/05/2021,5,2021,33.09090909,0,4.727272727,12.90909091,3.454545455,16,0,1.818181818,28,0
SBN-W,F,18/05/2021,5,2021,29.81818182,0,10.18181818,21.81818182,0.909090909,11.45454545,0,2,23.81818182,0
SBN-W,A,19/09/2021,9,2021,11.27272727,3.454545455,3.272727273,30.18181818,5.454545455,7.636363636,0,1.454545455,37.09090909,0.181818182
SBN-W,B,19/09/2021,9,2021,5.818181818,4,2,22.54545455,2.909090909,17.45454545,0,0.909090909,44,0.363636364
SBN-W,C,19/09/2021,9,2021,12.72727273,9.636363636,3.454545455,23.45454545,5.636363636,12.18181818,0.727272727,1.090909091,31.09090909,0
SBN-W,D,19/09/2021,9,2021,8.545454545,10.72727273,4.363636364,16.18181818,1.818181818,14.90909091,0.545454545,1.272727273,41.63636364,0
SBN-W,E,19/09/2021,9,2021,9.454545455,2,2.181818182,18.72727273,3.454545455,17.63636364,0,1.090909091,45.45454545,0
SBN-W,F,19/09/2021,9,2021,15.45454545,2.545454545,4.363636364,13.27272727,8.909090909,19.27272727,0.181818182,1.636363636,34.36363636,0
SBN-W,A,09/06/2022,6,2022,6.909090909,1.272727273,7.272727273,16.54545455,2.727272727,15.81818182,0,0.909090909,48.54545455,0
SBN-W,B,09/06/2022,6,2022,8.727272727,0,5.090909091,21.09090909,1.636363636,11.63636364,0,0.545454545,51.27272727,0
SBN-W,C,09/06/2022,6,2022,10.18181818,0.363636364,4.909090909,26,2.181818182,14.90909091,0,0.727272727,40.72727273,0
SBN-W,D,09/06/2022,6,2022,6.545454545,0,6.181818182,27.63636364,2.363636364,25.09090909,0,2.363636364,29.81818182,0
SBN-W,E,09/06/2022,6,2022,7.090909091,0.363636364,3.090909091,16,2.909090909,22.54545455,0,1.090909091,46.90909091,0
SBN-W,F,09/06/2022,6,2022,13.81818182,0.727272727,5.272727273,14,3.818181818,13.81818182,0,0.727272727,47.81818182,0
SharkIsland,A,11/05/2021,5,2021,48.18181818,0,4,4.363636364,2,21.63636364,0,0,19.81818182,0
SharkIsland,B,11/05/2021,5,2021,76.36363636,0,1.818181818,2.363636364,1.636363636,10.72727273,0,0,6.909090909,0.181818182
SharkIsland,C,11/05/2021,5,2021,89.09090909,0,5.454545455,0.363636364,0.545454545,2.727272727,0,0,1.818181818,0
SharkIsland,D,11/05/2021,5,2021,64.36363636,0.181818182,7.090909091,0,0,13.27272727,0,0.909090909,14.18181818,0
SharkIsland,E,11/05/2021,5,2021,71.63636364,0.181818182,11.09090909,1.454545455,1.090909091,8.545454545,0,0,6,0
SharkIsland,F,11/05/2021,5,2021,77.63636364,0,1.090909091,2.181818182,0.909090909,10.72727273,0,0,7.454545455,0
SharkIsland,A,04/09/2021,9,2021,1.454545455,6.363636364,2.727272727,0.909090909,0.363636364,21.63636364,0,4.545454545,62,0
SharkIsland,B,04/09/2021,9,2021,0.909090909,1.636363636,2.363636364,0.545454545,1.272727273,14.72727273,0,2.545454545,75.81818182,0.181818182
SharkIsland,C,04/09/2021,9,2021,6.181818182,2.909090909,3.090909091,0.181818182,0.363636364,31.45454545,0,1.818181818,54,0
SharkIsland,D,04/09/2021,9,2021,34,3.090909091,3.454545455,3.090909091,1.272727273,24.36363636,0,0.363636364,30.36363636,0
SharkIsland,E,04/09/2021,9,2021,1.636363636,8,2.545454545,0,0.181818182,26.18181818,0,0.545454545,60.90909091,0
SharkIsland,F,04/09/2021,9,2021,0.363636364,6.727272727,2,0.363636364,0.727272727,13.81818182,0,1.454545455,74.54545455,0
SharkIsland,A,04/05/2022,5,2022,16.72727273,6.727272727,4.545454545,2,0.727272727,12.90909091,0.909090909,10.54545455,44.90909091,0
SharkIsland,B,04/05/2022,5,2022,2.363636364,17.09090909,4.727272727,2.545454545,2.545454545,21.09090909,1.272727273,11.27272727,37.09090909,0
SharkIsland,C,04/05/2022,5,2022,0.727272727,21.27272727,3.636363636,0,1.818181818,48.90909091,0.545454545,6.181818182,16.90909091,0
SharkIsland,D,04/05/2022,5,2022,14,11.63636364,8,0.727272727,2.363636364,50.18181818,0.181818182,3.636363636,9.272727273,0
SharkIsland,E,04/05/2022,5,2022,34.72727273,5.818181818,6,8.727272727,6.545454545,29.09090909,0,0.363636364,8.727272727,0
SharkIsland,F,04/05/2022,5,2022,18.18181818,1.818181818,8.363636364,19.09090909,11.09090909,30,0,0.545454545,10.90909091,0
